LINEA,MARCA,2024,2025,Var 24/25
STREET TRIPLE RS,TRIUMPH,20,19,-0.050000000000000044
BD-180,SAIGE,1,19,18
MILAN,BERA,-,19,-
TDR601Z,M&M,3,18,5
DIO STD 110 KZKN,HONDA,373,18,-0.9517426273458445
PULSAR 150 NEON,BAJAJ,53,18,-0.6603773584905661
CBR650RAP,HONDA,8,18,1.25
PLATINA 125,BAJAJ,230,18,-0.9217391304347826
NAVI MIX III,HONDA,656,18,-0.9725609756097561
CRF250FR,HONDA,34,18,-0.47058823529411764
XL300,KATROM,-,18,-
TCMAX,SUPER SOCO,32,18,-0.4375
FLFB FAT BOY,HARLEY DAVIDSON,-,18,-
EX500JSFAN,KAWASAKI,-,18,-
DESERTX  MATT,DUCATI,7,17,1.4285714285714284
CF250-7,CFMOTO,3,17,4.666666666666667
GSX-S1000,SUZUKI,33,17,-0.48484848484848486
NITRO 151 R,VICTORY,17,17,0
NEW TS,SUPER SOCO,25,17,-0.31999999999999995
TROGON,AIMA,8,17,1.125
BOLD 125,VICTORY,781,16,-0.9795134443021767
R 12 NINET,BMW,14,16,0.1428571428571428
THRILLER PRO,HERO,159,16,-0.89937106918239
TWIST EU3,KYMCO,80,16,-0.8
AK100NV EIII,AKT,3169,16,-0.9949510886715052
DL250,SUZUKI,36,15,-0.5833333333333333
NAVI VL,HONDA,104,15,-0.8557692307692308
XL200,KATROM,-,15,-
KY450,KOVE,-,15,-
PANIGALE V2S,DUCATI,-,15,-
V-STROM 1050DE,SUZUKI,42,15,-0.6428571428571428
302S,BENELLI,62,15,-0.7580645161290323
ZS200,SINOLATION,97,14,-0.8556701030927836
ER500ERFNN,KAWASAKI,25,14,-0.43999999999999995
BOMBER 150,VICTORY,445,14,-0.9685393258426966
DIAVEL V4,DUCATI,24,14,-0.41666666666666663
DIO DLX E3,HONDA,1367,14,-0.9897585954645208
CBR1000SPS,HONDA,-,14,-
TUONO 457,APRILIA,-,14,-
CB 190R REPSOL,HONDA,594,14,-0.9764309764309764
SCRAMBLER FULL THROTTLE,DUCATI,15,13,-0.1333333333333333
CB125F E3,HONDA,146,13,-0.910958904109589
300DS,VOGEPRO,79,13,-0.8354430379746836
CE 02,BMW,29,13,-0.5517241379310345
CF300-5BF,CFMOTO,-,13,-
IGNITOR SS,HERO,45,13,-0.7111111111111111
EX500GSFAN,KAWASAKI,-,13,-
S1000RR,BMW,-,13,-
HYPERMOTARD 698 RVE,DUCATI,20,13,-0.35
390 DUKE NG,KTM,208,13,-0.9375
890 ADVENTURE,KTM,43,13,-0.6976744186046512
HYPERMOTARD 950 SP,DUCATI,14,13,-0.0714285714285714
690 SMC R,KTM,31,12,-0.6129032258064516
TRX250TE1R,HONDA,5,12,1.4
NQI SPORT,NIU,54,12,-0.7777777777777778
VESPA GTS 310 SUPERSPORT,PIAGGIO,-,12,-
MULTISTRADA V2,DUCATI,-,12,-
E110S,SEGWAY,9,12,0.33333333333333326
CF700-2A,CFMOTO,4,12,2
MRX 150 CAMO,VICTORY,70,12,-0.8285714285714285
MONSTER SP,DUCATI,11,12,0.09090909090909083
TRX520FE2R,HONDA,6,12,1
014/10 PRO,BOSS ATV,-,12,-
STREET FIGHTER V4S,DUCATI,9,12,0.33333333333333326
ADV750S 2ED,HONDA,-,12,-
1290 SUPER ADVENTURE S,KTM,18,12,-0.33333333333333337
SVARTPILEN 801,HUSQVARNA,9,11,0.22222222222222232
FXBR BREAKOUT,HARLEY DAVIDSON,3,11,2.6666666666666665
NORDEN 901,HUSQVARNA,37,11,-0.7027027027027026
CF300-5H,CFMOTO,-,11,-
CF400AZ-3L,CFMOTO,4,11,1.75
AGA-16 (COMMANDER 200),PLR,17,11,-0.3529411764705882
SM700,GAS GAS,32,11,-0.65625
PLR XPEDITION 200,PLR,3,11,2.6666666666666665
HIMALAYAN,ROYAL ENFIELD,417,11,-0.973621103117506
SCRAMBLER 800 NIGHTSHIFT,DUCATI,15,11,-0.2666666666666667
FLTRX ROAD GLIDE,HARLEY DAVIDSON,3,11,2.6666666666666665
SCOOTER,BRENSON,5,11,1.2000000000000002
ZX400SSFAN,KAWASAKI,9,10,0.11111111111111116
NITRO 125 PRO,VICTORY,136,10,-0.9264705882352942
R 12,BMW,14,10,-0.2857142857142857
701 SUPERMOTO,HUSQVARNA,64,10,-0.84375
ONE MP SILVER TK,VICTORY,70,10,-0.8571428571428572
MULTISTRADA V4 RALLY RADAR,DUCATI,24,10,-0.5833333333333333
CB125F TWISTER,HONDA,97,10,-0.8969072164948454
SWITCH 150,VICTORY,195,10,-0.9487179487179487
SV650A,SUZUKI,11,10,-0.09090909090909094
NO TIENE,MOBULAA,10,10,0
CF650-11H,CFMOTO,-,10,-
VESPA  PRIMAVERA 150 ABS,PIAGGIO,5,10,1
200 DUKE,KTM,566,9,-0.9840989399293286
2 PLUS,GOGORO,12,9,-0.25
BOMBER 250 RT,VICTORY,30,9,-0.7
